relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
85.0,18.3,7.6,0,-0.3624957421644108,2.5373290945426388
84.0,16.3,7.7,0,-0.29106026501974486,2.145260335466902
85.0,9.4,7.1,1,0.26054447197551467,0.8368639793442304
86.0,5.7,6.4,1,0.6111267097838408,0.15677960548011952
87.0,5.1,6.1,1,0.7261351656175704,0.055342801425551966
86.0,6.9,6.6,1,0.5162254994602417,0.37804279764304694
80.0,17.3,8.1,0,-0.5938072877933435,2.3271148268113784
77.0,18.8,9.0,0,-0.9192163575827899,2.5730875880535
72.0,26.2,9.9,0,-1.7326562780937622,3.9721527230797102
77.0,29.6,9.3,0,-1.6500571044204513,4.655111903945316
75.0,24.5,9.2,0,-1.4106056959731186,3.6752007830331395
70.0,19.8,9.3,0,-1.3671108642039709,2.7696636436491735
71.0,18.4,8.7,0,-1.1751382519239824,2.5307908877554843
73.0,29.8,8.8,0,-1.826531912317899,4.735792678020859
70.0,29.7,9.1,0,-1.9980126692148281,4.7068935355847366
66.0,25.9,8.8,0,-1.929372860432346,3.9976515525158067
64.0,24.7,9.0,0,-1.9695873514526065,3.757998776299087
55.0,25.3,10.4,0,-2.5839685639701986,3.8160957729469747
51.0,23.1,11.3,0,-2.7185651265101254,3.3454634589860985
51.0,20.0,12.0,0,-2.573389451656998,2.7003351257978765
52.0,20.9,12.3,0,-2.6057705428118716,2.854324341781025
50.0,18.9,12.6,0,-2.601892916339136,2.4530607906783914
51.0,22.9,12.4,0,-2.7958857018237664,3.240090928326366
56.0,21.2,11.6,0,-2.3633734475742094,2.943397455048493
51.0,26.1,11.7,0,-2.9476001425808076,3.904665145155114
45.0,26.8,11.7,0,-3.300102491080001,4.058142047617802
53.0,26.4,10.7,0,-2.7827926805187975,4.0176546147006755
68.0,32.0,9.0,0,-2.2424299376571337,5.165977804071555
77.0,28.4,8.2,0,-1.4811938064520132,4.488242063637671
79.0,28.8,8.1,0,-1.3968871979387556,4.566284064968477
79.0,26.7,8.0,0,-1.2513551042182456,4.163964214279108
81.0,27.1,7.7,0,-1.1506124762283574,4.2540936271333125
84.0,26.2,7.2,0,-0.8973080408156564,4.10062134468756
81.0,25.1,7.1,0,-0.9705290997201843,3.901438188892961
80.0,26.7,7.0,0,-1.1180531756397922,4.2215086523995895
80.0,26.3,7.0,0,-1.0918981120241362,4.143725117837482
83.0,24.5,6.8,0,-0.8043988126911554,3.797108765341893
82.0,22.7,6.8,0,-0.737822857616002,3.449975479308908
81.0,23.3,6.9,0,-0.8363952939731009,3.5634996948868713
81.0,21.4,6.5,0,-0.6792867028454724,3.2182027287636514
82.0,21.2,6.2,0,-0.5904333106273991,3.194549459271192
77.0,22.5,7.2,0,-1.0132265207379314,3.4013719864635608
72.0,22.8,8.0,0,-1.3541960523326926,3.425823088774057
68.0,23.7,8.6,0,-1.6668403286790077,3.57614428495461
63.0,24.0,9.1,0,-1.983155831058823,3.6187265045502
67.0,18.7,9.2,0,-1.4403319231084981,2.5704804878545744
67.0,16.3,9.0,0,-1.2669655219379308,2.1158666920053237
67.0,11.7,8.3,0,-0.9086562221896778,1.2636619848729698
79.0,6.4,5.5,1,0.2814646177341873,0.36754247929458866
83.0,5.8,4.4,1,0.6155826450603376,0.3057774628441059
88.0,5.6,3.5,1,0.9582314204895002,0.3068159499358353
94.0,6.3,2.6,1,1.2931531339787357,0.47997477029580754
96.0,7.1,2.1,1,1.3841767178295987,0.6599751292355135
98.0,6.1,1.6,1,1.5928980879509145,0.48994958264573457
97.0,6.1,1.6,1,1.5417762567556155,0.49284220214223434
93.0,5.3,2.7,1,1.2992009520842613,0.28236484762533964
94.0,1.6,2.6,1,1.600475131462695,-0.43398176080895906
96.0,4.0,2.0,1,1.595096470589249,0.06319644214087622
96.0,4.5,2.3,1,1.5377486118547328,0.14229474305841702
97.0,3.3,2.4,1,1.6591176241586847,-0.0999921858861044
95.0,4.1,2.9,1,1.463473785845197,0.03114159342262066
94.0,3.7,3.0,1,1.4302890085272386,-0.04979302740468526
97.0,2.6,2.8,1,1.6720169465328214,-0.26028819441658485
95.0,4.2,3.1,1,1.4404990004646523,0.03850006553975183
93.0,3.2,3.4,1,1.3789889678982479,-0.16830464915761237
86.0,2.0,4.8,1,0.9845492040417064,-0.4660187970322095
83.0,0.0,5.7,1,0.8879969408892507,-0.9006519632085312
80.0,0.0,6.5,1,0.6688873693968299,-0.940323750812616
82.0,3.7,6.5,1,0.5291966933426093,-0.22661129510611844
84.0,2.4,6.9,1,0.6835722735308283,-0.5093678444727605
88.0,2.4,6.9,1,0.8880595983120249,-0.5209383224587596
93.0,3.0,6.2,1,1.1619622270332444,-0.37642017776621056
88.0,2.9,6.4,1,0.8964558174840318,-0.39349037544763477
96.0,5.1,4.8,1,1.293065772973363,0.10787740085912823
96.0,5.1,4.6,1,1.3095017924499939,0.1199648123825243
92.0,4.3,5.2,1,1.108016536470217,-0.06029401332588034
91.0,2.7,5.3,1,1.153296949999227,-0.37457923783950964
92.0,1.5,5.2,1,1.2911019817798097,-0.6047787552606348
95.0,2.2,4.8,1,1.4315681529915707,-0.4531606052196534
98.0,3.3,4.3,1,1.554097270325991,-0.21771521485486633
96.0,2.5,4.3,1,1.504163735166705,-0.3674970449860824
96.0,4.6,3.4,1,1.4408117388293489,0.09525986332026563
96.0,3.4,3.2,1,1.5357129491529482,-0.12600332884266163
99.0,5.1,2.5,1,1.6354454905405151,0.2382047748886832
99.0,6.0,2.1,1,1.6094686363585506,0.4373925507002178
99.0,5.8,2.0,1,1.630764177904694,0.404544489180862
99.0,4.7,2.0,1,1.7026906028477484,0.19063976913506558
97.0,2.9,2.2,1,1.7017087072509716,-0.16568830892481612
97.0,2.4,2.5,1,1.7097485075555956,-0.28104884441254485
97.0,2.3,2.5,1,1.7162872734595096,-0.30049472805307176
97.0,1.6,2.7,1,1.745622615310277,-0.44870332506015653
95.0,2.2,3.5,1,1.538402279589671,-0.3745924303175793
93.0,0.7,3.8,1,1.509586076542837,-0.678626563217578
80.0,6.0,4.9,1,0.40804957097503497,0.32312855980616906
84.0,7.7,4.5,1,0.5342499143429548,0.6663129267559202
89.0,4.5,4.2,1,1.0237536084596457,0.047712670061653036
81.0,1.6,4.3,1,0.7961851603724439,-0.4991207053033284
85.0,1.1,3.9,1,1.0662383536264723,-0.5837457784451704
91.0,0.8,3.4,1,1.4336756872015863,-0.6292206175372596
93.0,2.5,2.4,1,1.5069404266088005,-0.2439887770243209
99.0,1.5,1.6,1,1.9448031507262589,-0.4074536843150048
100.0,1.8,1.5,1,1.9845266939481312,-0.3459649471282257
100.0,2.9,1.6,1,1.9043822592667616,-0.1381039328441273
100.0,4.6,1.6,1,1.7932232389002232,0.19247608904483082
100.0,5.4,1.5,1,1.7491311214072263,0.35408686393074457
99.0,6.4,1.5,1,1.632621631172787,0.5514383198325138
99.0,8.4,1.7,1,1.4854102936178757,0.9282685811196567
100.0,8.0,1.7,1,1.562687188428831,0.8475924270610491
100.0,7.6,1.6,1,1.5970602617828022,0.7758525982606392
99.0,6.7,1.7,1,1.5965693139844142,0.5976885592306986
99.0,6.2,1.7,1,1.6292631435039842,0.5004591410280639
100.0,7.0,1.5,1,1.6445108669446018,0.6652210021791757
100.0,7.4,1.4,1,1.6265738130672611,0.7490482425029814
100.0,8.6,1.6,1,1.531672602743662,0.9703114346659087
96.0,11.0,2.4,1,1.1045108183620054,1.4002334739309705
94.0,11.3,3.1,1,0.9251247900914572,1.422050423513665
92.0,11.8,3.2,0,0.7819692884429734,1.5190213749476011
93.0,12.5,2.5,0,0.8448458264790824,1.6945558812666761
94.0,11.5,2.3,0,0.9777913361901526,1.5092918368883028
94.0,10.7,2.1,1,1.0465374828980956,1.365812179287483
94.0,12.3,1.8,0,0.9665712576504173,1.6950774348210085
95.0,12.6,1.6,0,1.0145128106106052,1.7626098777694854
91.0,15.3,1.3,0,0.6581328356386762,2.3173503313348065
89.0,15.6,0.8,0,0.5773629242279128,2.411691750057877
88.0,15.6,0.3,0,0.5673311417241907,2.444802898362867
87.0,15.2,0.1,0,0.5588003936211786,2.381999394820655
86.0,14.5,-0.2,0,0.5781039529682238,2.2669019461185598
86.0,16.2,-0.4,0,0.48338095207831633,2.6095693795309143
85.0,17.0,-0.7,0,0.40460302286665106,2.7861601854367235
82.0,18.4,-0.9,0,0.17613082610258832,3.0791678264169957
80.0,17.4,-1.4,0,0.1803648714427074,2.920712757813216
79.0,17.6,-1.9,0,0.15725555713115705,2.9927156733992604
79.0,17.7,-2.1,0,0.16715281070387397,3.0242489685631826
77.0,17.6,-2.2,0,0.07966592395550512,3.0166320296773543
77.0,18.6,-2.5,0,0.03893229413131103,3.2292219833677174
75.0,19.1,-2.8,0,-0.07135116856391129,3.3503677578484456
74.0,19.9,-2.7,0,-0.18300113672883772,3.502783740707463
74.0,20.2,-2.4,0,-0.22727146365552603,3.5429902743439494
72.0,20.8,-2.0,0,-0.40161976042287045,3.641275992133319
71.0,21.0,-1.7,0,-0.490473152640944,3.6649292616257783
70.0,20.7,-1.5,0,-0.5384147056011318,3.597396818677301
74.0,19.3,-1.9,0,-0.2095126192118771,3.337758792770717
73.0,19.0,-1.8,0,-0.24923616243374944,3.2762700555839377
73.0,19.1,-1.7,0,-0.26399293807597907,3.2896722334627673
74.0,18.9,-1.7,0,-0.19979357507285184,3.2478878466852126
74.0,19.1,-1.6,0,-0.22108911661899538,3.2807359082045693
74.0,19.1,-1.6,0,-0.22108911661899538,3.2807359082045693
74.0,18.5,-1.5,0,-0.19007453093382665,3.158016900599709
73.0,17.6,-1.4,0,-0.19056547873221497,2.979852861569769
74.0,16.7,-1.5,0,-0.07237674466337393,2.8079909950702238
74.0,17.0,-1.6,0,-0.08377503263680068,2.872372351753503
75.0,17.4,-1.8,0,-0.04237224558052651,2.9593506783425068
75.0,16.6,-2.0,0,0.026373901127416166,2.8158710207416875
77.0,13.9,-1.6,0,0.2722922039704316,2.2608721004076684
78.0,14.1,-1.9,0,0.334990532572849,2.3150023654773166
77.0,13.5,-2.1,0,0.3395373162776648,2.2133070946540507
76.0,13.0,-2.3,0,0.3375453340785666,2.1310577074713115
75.0,12.5,-2.6,0,0.3437713616177839,2.0548520260502707
75.0,13.5,-2.7,0,0.28660171231695913,2.2553545682172382
76.0,13.2,-2.9,0,0.3737758607006312,2.2062117093225537
76.0,12.8,-2.8,0,0.3917129145779715,2.1223844689987477
